location_id,location_name
396,1655 København V
397,1656 København V
398,1657 København V
399,1658 København V
400,1659 København V
401,1660 København V
402,1661 København V
403,1662 København V
404,1663 København V
405,1664 København V
406,1665 København V
407,1666 København V
408,1667 København V
409,1668 København V
410,1669 København V
411,1670 København V
412,1671 København V
413,1672 København V
414,1673 København V
415,1674 København V
416,1675 København V
417,1676 København V
418,1677 København V
419,1699 København V
420,1700 København V
421,1701 København V
422,1702 København V
423,1703 København V
424,1704 København V
425,1705 København V
426,1706 København V
427,1707 København V
428,1708 København V
429,1709 København V
430,1710 København V
431,1711 København V
432,1712 København V
433,1714 København V
434,1715 København V
435,1716 København V
436,1717 København V
437,1718 København V
438,1719 København V
439,1720 København V
440,1721 København V
441,1722 København V
442,1723 København V
443,1724 København V
444,1725 København V
445,1726 København V
446,1727 København V
447,1728 København V
448,1729 København V
449,1730 København V
450,1731 København V
451,1732 København V
452,1733 København V
453,1734 København V
454,1735 København V
455,1736 København V
456,1737 København V
457,1738 København V
458,1739 København V
459,1749 København V
460,1750 København V
461,1751 København V
462,1752 København V
463,1753 København V
464,1754 København V
465,1755 København V
466,1756 København V
467,1757 København V
468,1758 København V
469,1759 København V
470,1760 København V
471,1761 København V
472,1762 København V
473,1763 København V
474,1764 København V
475,1765 København V
476,1766 København V
477,1770 København V
478,1771 København V
479,1772 København V
480,1773 København V
481,1774 København V
482,1775 København V
483,1777 København V
484,1799 København V
485,1800 Frederiksberg C
486,1801 Frederiksberg C
487,1802 Frederiksberg C
488,1803 Frederiksberg C
489,1804 Frederiksberg C
490,1805 Frederiksberg C
491,1806 Frederiksberg C
492,1807 Frederiksberg C
493,1808 Frederiksberg C
494,1809 Frederiksberg C
495,1810 Frederiksberg C
496,1811 Frederiksberg C
497,1812 Frederiksberg C
498,1813 Frederiksberg C
499,1814 Frederiksberg C
500,1815 Frederiksberg C
501,1816 Frederiksberg C
502,1817 Frederiksberg C
503,1818 Frederiksberg C
504,1819 Frederiksberg C
505,1820 Frederiksberg C
506,1822 Frederiksberg C
507,1823 Frederiksberg C
508,1824 Frederiksberg C
509,1825 Frederiksberg C
510,1826 Frederiksberg C
511,1827 Frederiksberg C
512,1828 Frederiksberg C
513,1829 Frederiksberg C
514,1850 Frederiksberg C
515,1851 Frederiksberg C
516,1852 Frederiksberg C
517,1853 Frederiksberg C
518,1854 Frederiksberg C
519,1855 Frederiksberg C
520,1856 Frederiksberg C
521,1857 Frederiksberg C
522,1860 Frederiksberg C
523,1861 Frederiksberg C
524,1862 Frederiksberg C
525,1863 Frederiksberg C
526,1864 Frederiksberg C
527,1865 Frederiksberg C
528,1866 Frederiksberg C
529,1867 Frederiksberg C
530,1868 Frederiksberg C
531,1870 Frederiksberg C
532,1871 Frederiksberg C
533,1872 Frederiksberg C
534,1873 Frederiksberg C
535,1874 Frederiksberg C
536,1875 Frederiksberg C
537,1876 Frederiksberg C
538,1877 Frederiksberg C
539,1878 Frederiksberg C
540,1879 Frederiksberg C
541,1900 Frederiksberg C
542,1901 Frederiksberg C
543,1902 Frederiksberg C
544,1903 Frederiksberg C
545,1904 Frederiksberg C
546,1905 Frederiksberg C
547,1906 Frederiksberg C
548,1908 Frederiksberg C
549,1909 Frederiksberg C
550,1910 Frederiksberg C
551,1911 Frederiksberg C
552,1912 Frederiksberg C
553,1913 Frederiksberg C
554,1914 Frederiksberg C
555,1915 Frederiksberg C
556,1916 Frederiksberg C
557,1917 Frederiksberg C
558,1920 Frederiksberg C
559,1921 Frederiksberg C
560,1922 Frederiksberg C
561,1923 Frederiksberg C
562,1924 Frederiksberg C
563,1925 Frederiksberg C
564,1926 Frederiksberg C
565,1927 Frederiksberg C
566,1928 Frederiksberg C
567,1950 Frederiksberg C
568,1951 Frederiksberg C
569,1952 Frederiksberg C
570,1953 Frederiksberg C
571,1954 Frederiksberg C
572,1955 Frederiksberg C
573,1956 Frederiksberg C
574,1957 Frederiksberg C
575,1958 Frederiksberg C
576,1959 Frederiksberg C
577,1960 Frederiksberg C
578,1961 Frederiksberg C
579,1962 Frederiksberg C
580,1963 Frederiksberg C
581,1964 Frederiksberg C
582,1965 Frederiksberg C
583,1966 Frederiksberg C
584,1967 Frederiksberg C
585,1970 Frederiksberg C
586,1971 Frederiksberg C
587,1972 Frederiksberg C
588,1973 Frederiksberg C
589,1974 Frederiksberg C
590,2000 Frederiksberg
591,2100 København Ø
592,2150 Nordhavn
593,2200 København N
594,2300 København S
595,2400 København NV
596,2450 København SV
597,2500 Valby
598,2600 Glostrup
599,2605 Brøndby
600,2610 Rødovre
601,2620 Albertslund
602,2625 Vallensbæk
603,2630 Taastrup
604,2635 Ishøj
605,2640 Hedehusene
606,2650 Hvidovre
607,2660 Brøndby Strand
608,2665 Vallensbæk Strand
609,2670 Greve
610,2680 Solrød Strand
611,2690 Karlslunde
612,2700 Brønshøj
613,2720 Vanløse
614,2730 Herlev
615,2740 Skovlunde
616,2750 Ballerup
617,2760 Måløv
618,2765 Smørum
619,2770 Kastrup
620,2791 Dragør
621,2800 Kgs. Lyngby
622,2820 Gentofte
623,2830 Virum
624,2840 Holte
625,2850 Nærum
626,2860 Søborg
627,2870 Dyssegård
628,2880 Bagsværd
629,2900 Hellerup
630,2920 Charlottenlund
631,2930 Klampenborg
632,2942 Skodsborg
633,2950 Vedbæk
634,2960 Rungsted Kyst
635,2970 Hørsholm
636,2980 Kokkedal
637,2990 Nivå
638,3000 Helsingør
639,3050 Humlebæk
640,3060 Espergærde
641,3070 Snekkersten
642,3080 Tikøb
643,3100 Hornbæk
644,3120 Dronningmølle
645,3140 Ålsgårde
646,3150 Hellebæk
647,3200 Helsinge
648,3210 Vejby
649,3220 Tisvildeleje
650,3230 Græsted
651,3250 Gilleleje
652,3300 Frederiksværk
653,3310 Ølsted
654,3320 Skævinge
655,3330 Gørløse
656,3360 Liseleje
657,3370 Melby
658,3390 Hundested
659,3400 Hillerød
660,3450 Allerød
661,3460 Birkerød
662,3480 Fredensborg
663,3490 Kvistgård
664,3500 Værløse
665,3520 Farum
666,3540 Lynge
667,3550 Slangerup
668,3600 Frederikssund
669,3630 Jægerspris
670,3650 Ølstykke
671,3660 Stenløse
672,3670 Veksø Sjælland
673,3700 Rønne
674,3720 Aakirkeby
675,3730 Nexø
676,3740 Svaneke
677,3751 Østermarie
678,3760 Gudhjem
679,3770 Allinge
680,3782 Klemensker
681,3790 Hasle
682,4000 Roskilde
683,4030 Tune
684,4040 Jyllinge
685,4050 Skibby
686,4060 Kirke Såby
687,4070 Kirke Hyllinge
688,4100 Ringsted
689,4130 Viby Sjælland
690,4140 Borup
691,4160 Herlufmagle
692,4171 Glumsø
693,4173 Fjenneslev
694,4174 Jystrup Midtsj
695,4180 Sorø
696,4190 Munke Bjergby
697,4200 Slagelse
698,4220 Korsør
699,4230 Skælskør
700,4241 Vemmelev
701,4242 Boeslunde
702,4243 Rude
703,4244 Agersø
704,4245 Omø
705,4250 Fuglebjerg
706,4261 Dalmose
707,4262 Sandved
708,4270 Høng
709,4281 Gørlev
710,4291 Ruds Vedby
711,4293 Dianalund
712,4295 Stenlille
713,4296 Nyrup
714,4300 Holbæk
715,4305 Orø
716,4320 Lejre
717,4330 Hvalsø
718,4340 Tølløse
719,4350 Ugerløse
720,4360 Kirke Eskilstrup
721,4370 Store Merløse
722,4390 Vipperød
723,4400 Kalundborg
724,4420 Regstrup
725,4440 Mørkøv
726,4450 Jyderup
727,4460 Snertinge
728,4470 Svebølle
729,4480 Store Fuglede
730,4490 Jerslev Sjælland
731,4500 Nykøbing Sj
732,4520 Svinninge
733,4532 Gislinge
734,4534 Hørve
