company_id,company_name,employee_count,employee_count_low,n_sectors,sectors,n_divisions,divisions
10078563,Rønvig Dental Manufacturing A/S,20,20,2,Møbel- og anden industri mv.; Handel,2,Fremstilling af medicinske og dentale instrumenter samt udstyr hertil; Engroshandel med læge- og hospitalsartikler
10079861,SimpleSite,38,38,1,It- og informationstjenester,1,Computerprogrammering
10080479,Lysiplex A/S,25,25,1,Fremst. af elektrisk udstyr,1,Fremstilling af elektriske belysningsartikler
10081327,Lineage Vejle ApS,30,30,1,Transport,1,Oplagrings- og pakhusvirksomhed
10082269,Phoenix Danmark A/S,18,18,1,Handel,1,Engroshandel med personbiler
10082366,Loomis Danmark,271,271,1,Rejsebureauer  rengøring og anden operationel service,1,Private vagt- og sikkerhedstjenester
10082609,Rolltechnic Transportkomponenter A/S,17,17,2,Maskinindustri; Handel,2,Fremstilling af løfte- og håndteringsudstyr; Engroshandel med andre maskiner og andet udstyr
10082773,Schur Flexibles Denmark,46,46,3,Plast-; Handel; Ejendomshandel og udlejning,4,Fremstilling af plader; Fremstilling af plastemballage; Engroshandel med andre råvarer og halvfabrikata; Udlejning af erhvervsejendomme
10082846,WHT-SPEDITION A/S,19,19,1,Transport,1,Speditører
10082919,Alarm Eksperten A/S,9,9,1,Rejsebureauer  rengøring og anden operationel service,1,Serviceydelser i forbindelse med sikkerhedssystemer
10083923,Hørning Entreprenør Firma A/S,15,15,1,Bygge og anlæg,1,Anlæg af ledningsnet til væsker
10085225,Sotea ApS,32,32,1,It- og informationstjenester,1,Konsulentbistand vedrørende informationsteknologi
10086558,Hjorthede Planteskole A/S,27,27,1,Landbrug,1,Planteformering
10086876,Migatronic Automation A/S,28,28,2,Fremst. af elektrisk udstyr; Handel,2,Fremstilling af andet elektrisk udstyr; Engroshandel med værktøjsmaskiner
10087953,Skærbæk Smede- og Maskinværksted ApS,8,8,2,Metalindustri; Møbel- og anden industri mv.,3,Fremstilling af metalkonstruktioner og dele heraf; Reparation af jern- og metalvarer; Installation af industrimaskiner og -udstyr
10088518,Embacollage A/S,38,38,1,Handel,1,Engroshandel med andre råvarer og halvfabrikata
10088925,Markman Telemarketing A/S,31,31,1,Rejsebureauer  rengøring og anden operationel service,1,Call centres virksomhed
10089468,Stenbjerg Ejendomme A/S,23,23,1,Ejendomshandel og udlejning,1,Udlejning af erhvervsejendomme
10089859,Message A/S,241,241,1,Handel,2,Engroshandel med beklædning; Tøjforretninger
10090725,JO Plast A/S,17,17,1,Plast-,1,Fremstilling af andre plastprodukter
10091357,Pædagogisk Vikarbureau ApS,NA,NA,1,Rejsebureauer  rengøring og anden operationel service,1,Vikarbureauer
10092159,Revisionsfirmaet Leif Vesterlund - Registreret Revisionsanpartsselskab,9,9,1,Rådgivning mv.,1,Bogføring og revision; skatterådgivning
10092485,Erhvervsministeriet,200,200,1,Offentlig administration  forsvar og politi,1,Administration af og bidrag til erhvervsfremme
10092922,NLMK DanSteel A/S,470,470,1,Metalindustri,1,Fremstilling af råjern og råstål samt jernlegeringer
10095026,Vognsen & Co,6,6,1,Finansiering og forsikring,1,Anden finansiel formidling undtagen forsikring og pensionsforsikring
10095794,EUC Nordvestsjælland,361,361,2,Handel; Undervisning,2,Autoreparationsværksteder mv.; Tekniske skoler og fagskoler
10096189,Lauritz.com Aarhus,33,33,1,Handel,1,Detailhandel med andre varer i.a.n. via internet
10096359,Tildas Danmark A/S,4,4,1,Handel,1,Engroshandel med andre husholdningsartikler
10097061,HYCON A/S,22,22,1,Maskinindustri,1,Fremstilling af motordrevet håndværktøj
10097266,Colosseumklinikken Danmark ApS,11,11,2,Finansiering og forsikring; Rejsebureauer  rengøring og anden operationel service,2,Ikke-finansielle holdingselskaber; Kombinerede administrationsserviceydelser
10097924,Connected Wind Services Danmark A/S,73,73,1,Maskinindustri,1,Fremstilling af vindmøller og dele hertil
10100364,Pettinaroli A/S,NA,NA,1,Ejendomshandel og udlejning,1,Udlejning af erhvervsejendomme
10101247,Valdal Advokatfirma,36,36,3,Ejendomshandel og udlejning; Rådgivning mv.; Rejsebureauer  rengøring og anden operationel service,3,Administration af fast ejendom på kontraktbasis; Juridisk bistand; Inkassovirksomhed og kreditoplysning
10101441,Djurs Sommerland,609,609,1,Kultur og fritid,1,Forlystelsesparker o.l.
10101859,HM Rustfri Design ApS,63,63,2,Metalindustri; Møbel- og anden industri mv.,3,Maskinforarbejdning; Fremstilling af andre tanke og beholdere af metal; Reparation af jern- og metalvarer
10103940,Statsministeriet,103,103,1,Offentlig administration  forsvar og politi,1,Generelle offentlige tjenester
10104653,European Lifecare Group A/S,14,14,3,Handel; Forlag  tv og radio; Sundhedsvæsen,3,Engroshandel med medicinalvarer og sygeplejeartikler; Udgivelse af ugeblade og magasiner; Praktiserende speciallæger
10105455,Midgaard Event ApS,32,32,2,Rejsebureauer  rengøring og anden operationel service; Kultur og fritid,3,Anden forretningsservice i.a.n.; Andre forlystelser og fritidsaktiviteter; Forlystelsesparker o.l.
10106982,LACTALIS DANMARK A/S,64,64,1,Handel,1,Engroshandel med mejeriprodukter
10107156,SR Food A/S,5,5,1,Handel,1,Anden agenturhandel med føde-
10107423,Letz Sushi ApS,212,212,1,Hoteller og restauranter,2,Restauranter; Anden restaurationsvirksomhed
10108160,Stjernqvist ApS,NA,NA,2,Handel; Undervisning,2,Autoreparationsværksteder mv.; Køreskoler
10108160,Stjernqvist Trafikskole ApS,NA,NA,2,Handel; Undervisning,2,Autoreparationsværksteder mv.; Køreskoler
10108330,Finansministeriet,301,301,1,Offentlig administration  forsvar og politi,1,Generelle offentlige tjenester
10109124,Napatech A/S,68,68,1,It- og informationstjenester,1,Computerprogrammering
10112354,Caverion A/S,601,601,1,Bygge og anlæg,2,El-installation; VVS- og blikkenslagerforretninger
10114241,Dechra Veterinary Products A/S,104,104,1,Handel,1,Engroshandel med medicinalvarer og sygeplejeartikler
10116422,Telpartner A/S,6,6,1,Handel,1,Engroshandel med telekommunikationsudstyr
10117453,Taxmaster ApS,2,2,1,Rådgivning mv.,1,Virksomhedsrådgivning og anden rådgivning om driftsledelse
10117615,Mazda Motor Danmark  Filial af Mazda Motor Log. Eur Nv/sa  Belgien,19,19,1,Handel,1,Engroshandel med personbiler
10120268,Glova Rail A/S,19,19,1,Handel,1,Engroshandel med træ
10122058,Lillebælt Revision  statsautoriseret Revisionsanpartsselskab ApS,8,8,1,Rådgivning mv.,1,Bogføring og revision; skatterådgivning
10123089,Poul Stig Briller A/S,11,11,1,Handel,1,Optikere
10123135,UnikFunkis,102,102,1,"Træ- og papirindustri, trykkerier",1,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt
10123135,UnikFunkis A/S,102,102,1,"Træ- og papirindustri, trykkerier",1,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt
10125251,Accobat A/S,47,47,1,It- og informationstjenester,1,Konsulentbistand vedrørende informationsteknologi
10125367,SimaTech,6,6,1,It- og informationstjenester,1,Computerprogrammering
10126045,BB Distribution Denmark A/S,3,3,1,Handel,1,Engroshandel med beklædning
10126479,VVSøren Rasmussen i/s/Vordingborg VVS,10,10,1,Bygge og anlæg,1,VVS- og blikkenslagerforretninger
10126711,Base Erhverv A/S,22,22,1,Bygge og anlæg,1,Opførelse af bygninger
10127750,Stepping Ingeniør- og Byggeforretning A/S,15,15,1,Bygge og anlæg,1,Opførelse af bygninger
10130352,Eaton Power Quality Denmark,27,27,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
10131170,Frank Poulsen Engineering ApS,8,8,1,Forskning og udvikling,1,Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik
10132029,Ecron Acunova A/S,NA,NA,1,Forskning og udvikling,1,Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik
10132983,Dansk Video Center A/S,9,9,2,Handel; Rejsebureauer  rengøring og anden operationel service,2,Engroshandel med radio og tv mv.; Udlejning af kontormaskiner og -udstyr
10134188,Garrets,48,48,1,Handel,1,Ikke-specialiseret engroshandel
10134285,Alfa Laval in Denmark,457,457,1,Maskinindustri,2,Fremstilling af andre maskiner til generelle formål i.a.n.; Fremstilling af maskiner til føde-
10135567,HM Entreprenør A/S,82,82,3,Bygge og anlæg; Transport; Ejendomshandel og udlejning,4,Forberedende byggepladsarbejder; Anlæg af ledningsnet til væsker; Vejgodstransport; Udlejning af erhvervsejendomme
10138515,CiPe:Care Odense ApS,34,34,1,Handel,1,Autoreparationsværksteder mv.
10138558,Altivent ApS,5,5,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
10138922,Dansk Digital Center A/S,10,10,1,Bygge og anlæg,1,El-installation
10138965,Hobro Rustfri Procesteknik A/S,25,25,1,Møbel- og anden industri mv.,1,Reparation af maskiner
10139317,3PART,8,8,1,Reklame og øvrige erhvervsservice,1,Industriel design og produktdesign
10139384,Flexicon A/S,68,68,1,Maskinindustri,1,Fremstilling af andre maskiner til generelle formål i.a.n.
10139384,Watson-Marlow Flexicon A/S,68,68,1,Maskinindustri,1,Fremstilling af andre maskiner til generelle formål i.a.n.
10140315,Finanshuset i Fredensborg A/S,8,8,1,Finansiering og forsikring,1,Andre hjælpetjenester i forbindelse med finansiel formidling
10141060,Form & Figur ApS,15,15,1,Kultur og fritid,1,Fitnesscentre
10142180,Th. Langs Skole,74,74,2,Hoteller og restauranter; Undervisning,2,Anden restaurationsvirksomhed; Folkeskoler o.lign.
10144450,CYLINDR ApS,3,3,1,Reklame og øvrige erhvervsservice,1,Reklamebureauer
10144760,Lindebjerg A/S,48,48,2,Handel; Andre serviceydelser  mv.,2,Cykel- og knallertforretninger; Reparation af andre varer til personligt brug og husholdningsbrug
10145015,Dansk HøreCenter,76,76,1,Handel,1,Detailhandel med medicinske og ortopædiske artikler
10147263,Skanderby,14,14,1,It- og informationstjenester,1,Konsulentbistand vedrørende informationsteknologi
10148014,Dancover A/S,62,62,1,Handel,1,Engroshandel med tekstiler
10149606,HaveCentrenes Indkøb,5,5,1,Handel,1,Engroshandel med blomster og planter
10150817,Erhvervsstyrelsen,951,951,1,Offentlig administration  forsvar og politi,1,Administration af og bidrag til erhvervsfremme
10150825,Nordiske Medier  København A/S,119,119,2,Forlag  tv og radio; It- og informationstjenester,3,Udgivelse af ugeblade og magasiner; Webportaler; Databehandling
10150825,Nordiske Medier A/S,119,119,2,Forlag  tv og radio; It- og informationstjenester,3,Udgivelse af ugeblade og magasiner; Webportaler; Databehandling
10152089,Brdr. C & M Brünner A/S,7,7,1,Handel,1,Engroshandel med sukker
10152410,Vanerum Denmark A/S,8,8,2,Møbel- og anden industri mv.; Handel,2,Anden fremstillingsvirksomhed i.a.n.; Ikke-specialiseret engroshandel
10153255,Norlex Chemicals A/S,3,3,1,Handel,1,Engroshandel med kemiske produkter
10153271,Hotel Cl Copenhagen Airport A/S,150,150,1,Hoteller og restauranter,1,Hoteller
10153964,Liftup A/S,67,67,1,Maskinindustri,1,Fremstilling af løfte- og håndteringsudstyr
10154499,Audi,153,153,1,Rådgivning mv.,1,Ikke-finansielle hovedsæders virksomhed
10154499,Enterprise Danmark,153,153,1,Rådgivning mv.,1,Ikke-finansielle hovedsæders virksomhed
10154499,John Deere,153,153,1,Rådgivning mv.,1,Ikke-finansielle hovedsæders virksomhed
10154499,Semler Gruppen A/S,153,153,1,Rådgivning mv.,1,Ikke-finansielle hovedsæders virksomhed
10154596,DHL Express,472,472,2,Transport; Ejendomshandel og udlejning,2,Andre post- og kurertjenester; Udlejning af erhvervsejendomme
10154596,DHL Freight,472,472,2,Transport; Ejendomshandel og udlejning,2,Andre post- og kurertjenester; Udlejning af erhvervsejendomme
10155363,EcoOnline ApS,27,27,1,It- og informationstjenester,1,Computerprogrammering
10158117,Rådgivning & Revision A/S,10,10,1,Rådgivning mv.,1,Bogføring og revision; skatterådgivning
10161614,ISS World Services A/S,239,239,1,Rådgivning mv.,1,Ikke-finansielle hovedsæders virksomhed
10163455,GES Investment Services DK A/S,6,6,1,Finansiering og forsikring,1,Andre hjælpetjenester i forbindelse med finansiel formidling
10163668,Aura A/S,217,217,1,Rådgivning mv.,1,Ikke-finansielle hovedsæders virksomhed
10166470,BJ-Gear A/S,99,99,3,Metalindustri; Maskinindustri; Handel,3,Maskinforarbejdning; Fremstilling af lejer; Engroshandel med andre maskiner og andet udstyr
10167043,Egnsinvest Ejendomme A/S,NA,NA,1,Ejendomshandel og udlejning,1,Udlejning af erhvervsejendomme
