job_id,skill
1036802,kommunikation
1036802,engelsk
1036802,c
1036856,autisme
1036873,communication
1036873,english
1036873,engineering
1036873,danish
1036873,business
1036873,design
1036873,project-management
1036873,collaboration
1036873,history
1036873,play
1036902,communication
1036902,mobile
1036902,data-protection
1036902,personal-development
1036902,business
1036902,project-management
1036902,filtyper
1036902,application-process
1036902,physiotherapy
1036958,personlig-udvikling
1036958,support
1036958,swift
1036959,communication
1036959,surge
1036959,supplier-management
1036959,spanish
1036959,english
1036959,russian
1036959,material
1036959,support
1036959,workload
1036959,medical-devices
1036959,collaboration
1036959,databases
1036959,business-administration
1036959,framework
1036959,monitoring
1036959,arabic
1036959,french
1036959,chinese
1036963,gennemslagskraft
1036982,miljølovgivning
1036982,aftaleret
1036982,gennemslagskraft
1036982,svensk
1036982,ejendomsret
1036982,energi
1036983,dansk
1036983,fysik
1036983,kemi
1036983,biologi
1036983,geografi
1036983,matematik
1036983,specialundervisning
1036985,rådgive-kunder
1036985,regnskab
1036985,support
1036991,business
1036991,security
1036991,deployment
1036991,support
1036991,testing
1036991,operating-systems
1036991,attention-to-detail
1036991,finance
1036991,release
1036992,english
1036992,pregnancy
1036992,danish
1036992,work-independently
1036992,support
1036992,accounting
1036992,finance
1036998,communication
1036998,operations-management
1036998,english
1036998,api
1036998,danish
1036998,business
1036998,economics
1036998,material
1036998,support
1036998,attention-to-detail
1036998,business-administration
1036998,communications
1036998,schedule
1036998,maintain-database
1036998,supply-chain-management
1037001,communication
1037001,english
1037001,engineering
1037001,danish
1037001,api
1037001,design
1037001,support
1037001,project-management
1037001,utilities
1037001,schedule
1037001,play
1037001,provide-leadership
1037006,gennemslagskraft
1037006,ibrugtagning
1037010,communication
1037010,english
1037010,engineering
1037010,danish
1037010,api
1037010,design
1037010,support
1037010,project-management
1037010,medium
1037010,clean-rooms
1037010,utilities
1037010,schedule
1037010,play
1037012,communication
1037012,manage-a-team
1037012,english
1037012,engineering
1037012,danish
1037012,api
1037012,support
1037012,project-management
1037012,control-systems
1037012,play
1037016,psykiatri
1037016,ibrugtagning
1037016,økonomi
1037016,kommunikation
1037016,arbejde-selvstændigt
1037016,prioritere-opgaver
1037018,mobile
1037018,dermatology
1037018,economics
1037018,business
1037018,support
1037018,collaboration
1037018,medicines
1037020,dermatology
1037020,mobile
1037020,r
1037020,english
1037020,business
1037020,support
1037020,less
1037020,collaboration
1037020,medicines
1037022,chef
1037022,slægtsforskning
1037022,arbejde-selvstændigt
1037025,konflikthåndtering
1037041,kundeservice
1037041,personlig-udvikling
1037041,arbejde-selvstændigt
1037044,dansk
1037044,windows
1037044,server
1037044,software
1037044,træffe-beslutninger
1037044,kommunikation
1037044,cisco
1037044,engelsk
1037054,statistik
1037054,gennemslagskraft
1037066,dansk
1037066,kundeservice
1037066,engelsk
1037070,manage-time
1037070,communication
1037070,segment
1037070,english
1037070,danish
1037070,design
1037070,support
1037070,project-management
1037070,3d
1037070,mechanical-engineering
1037070,design-process
1037070,passenger
1037072,energi
1037104,dansk
1037104,engelsk
1037104,software
1037104,support
1037109,økonomi
1037109,energi
1037109,samarbejde-med-ledere
1037113,firefox
1037113,samarbejde-med-kolleger
1037113,økonomi
1037113,security
1037113,support
1037113,chrome
1037116,dansk
1037116,swedish
1037116,økonomi
1037116,tobaksprodukter
1037116,samarbejde-med-ledere
1037116,marketing
1037116,engelsk
1037116,svensk
1037116,finance
1037126,dansk
1037126,personlig-udvikling
1037126,robotteknologi
1037129,geografiske-områder
1037129,rehabilitering
1037136,økonomi
1037136,rehabilitering
1037136,chef
1037138,communication
1037138,rails
1037138,english
1037138,economics
1037138,business
1037138,design
1037138,genetics
1037138,support
1037138,project-management
1037138,solar-energy
1037138,engineering
1037138,energy
1037138,geophysics
1037138,kong
1037139,dansk
1037139,økonomi
1037139,design
1037139,kommunikation
1037139,engelsk
1037139,finance
1037139,supply-chain-management
1037140,dansk
1037140,logistik
1037140,marketing
1037140,geografi
1037140,engelsk
1037140,filtyper
1037140,svensk
1037142,communication
1037142,rails
1037142,english
1037142,economics
1037142,business
1037142,design
1037142,genetics
1037142,support
1037142,project-management
1037142,solar-energy
1037142,engineering
1037142,energy
1037142,time-to-market
1037142,geophysics
1037142,kong
1037143,dansk
1037143,databeskyttelse
1037143,tysk
1037143,intern-revision
1037148,dansk
1037148,kommunikation
1037148,kundeservice
1037148,arbejde-selvstændigt
1037149,elektriske-maskiner
1037149,medicinalindustrien
1037149,tysk
1037149,support
1037149,miljøteknik
1037149,svensk
1037149,arbejde-selvstændigt
1037156,support
1037163,communication
1037163,photography
1037163,write-english
1037163,english
1037163,danish
1037163,business
1037163,support
1037163,marketing
1037168,artificial-intelligence
1037168,write-english
1037168,business
1037168,design
1037168,marketing
1037168,collaboration
1037168,channel-marketing
1037168,communications
1037173,dansk
1037173,software
1037173,support
1037173,geografi
1037173,c
1037173,statistik
1037179,fødevarevidenskab
1037179,historie
1037183,dansk
1037183,fysik
1037183,logistik
1037183,arbejde-effektivt
1037183,engelsk
1037183,lagerarbejde
1037185,dansk
1037185,personlig-udvikling
1037185,mekanik
1037185,support
1037185,engelsk
1037185,gennemslagskraft
1037185,twitter
1037185,statistik
1037185,deltage-i-messer
1037198,økonomistyring
1037200,engelsk
1037200,business
1037202,årsregnskab
1037202,intern-revision
1037202,regnskab
1037202,risikostyring
1037203,statistik
1037204,arborist
1037204,vedligeholde-maskiner
1037205,dansk
1037205,business
1037205,marketing-automation
1037205,marketing
1037205,kundesegmentering
1037205,kommunikation
1037205,engelsk
1037205,arbejde-selvstændigt
1037205,statistik
1037205,crm
1037206,kommunikation
1037206,engelsk
1037206,personlig-udvikling
1037206,energi
1037207,dansk
1037207,automationsteknologi
1037207,business
1037207,robotics
1037207,engelsk
1037208,support
1037208,politik
1037209,arbejde-selvstændigt
1037212,skype
1037212,mobile
1037212,tysk
1037212,support
1037212,engelsk
1037212,crm
1037214,økonomi
1037214,dansk
1037214,regnskab
1037215,kubernetes
1037215,deployment
1037215,gitlab
1037215,terraform
1037215,monitoring
1037215,play
1037215,danish
1037215,support
1037215,attention-to-detail
1037215,mergers-and-acquisitions
1037215,java
1037215,personal-development
1037215,scalability
1037215,helm
1037215,software
1037215,design
1037215,azure
1037215,business
1037215,docker
1037215,data-management
1037215,database
1037215,grafana
1037215,security
1037215,history
1037215,nosql
1037215,cassandra
1037229,swedish
1037229,data-protection
1037229,personal-development
1037229,english
1037229,danish
1037229,security
1037229,support
1037229,energy
1037229,norwegian
1037230,statistics
1037230,english
1037230,danish
1037230,business
1037230,support
1037230,energy
1037230,accounting
1037230,statistik
1037230,finance
1037237,kommunikation
1037237,jagt
1037247,skype
1037247,risikostyring
1037247,økonomi
1037247,økonomistyring
1037247,rådgive-andre
1037254,kommunikation
1037254,chef
1037260,skrive-engelsk
1037268,statistik
1037271,marketing
1037271,arbejde-selvstændigt
1037275,communication
1037275,english
1037275,engineering
1037275,danish
1037275,business
1037275,design
1037275,project-management
1037275,collaboration
1037275,energy
1037275,back-office
1037275,finance
1037279,arbejde-selvstændigt
1037282,dansk
1037282,fotografi
1037282,design
1037286,dansk
1037286,english
1037286,german
1037286,tysk
1037286,kommunikation
1037286,engelsk
1037293,dansk
1037293,økonomi
1037293,r
1037293,værdipapirer
1037293,sql
1037293,chef
1037293,statistik
1037296,høreapparater
1037296,høretab
1037296,arbejde-selvstændigt
1037306,sundhedsuddannelse
1037306,arbejde-selvstændigt
1037309,communication
1037309,english
1037309,economics
1037309,business
1037309,less
1037309,risk-management
1037309,accounting
1037309,monitoring
1037309,finance
1037314,fysik
1037317,personlig-udvikling
1037317,arbejde-selvstændigt
1037320,dansk
1037320,jagt
1037320,engelsk
1037320,mode
1037320,supply-chain-management
1037321,communication
1037321,logic
1037321,english
1037321,danish
1037321,business
1037321,food-science
1037321,design
1037321,support
1037321,collaboration
1037321,literature
1037324,engelsk
1037325,kundeservice
1037325,æstetik
1037325,wordpress
1037325,design
1037325,kommunikation
1037326,dansk
1037326,3d
1037326,engelsk
1037326,personlig-udvikling
1037334,dansk
1037334,3d
1037334,engelsk
1037334,personlig-udvikling
1037335,kundeservice
1037335,kommunikation
1037338,økonomi
1037338,energi
1037338,arbejde-selvstændigt
1037341,dansk
1037341,ledningsnet
1037341,energi
1037343,økonomi
1037343,behandle-ansøgninger
